author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
59114767,GopherWrestling,36887,21516,The official Twitter feed of Golden Gopher Wrestling #GopherTough #Gophers,"Minneapolis, Minn.","No. 10 seed Jesse Porter's underdog run continues with 5-3 decision over Pat Smith. Pat moves to the consolation semis.

Gable Steveson is on deck on Mat 3. The match will stream on @Peacock.

Live Scoring: https://t.co/pNvmAiEr7G",2021-04-02 23:57:08+00:00,1,0,1,0
3015913108,KOTR_Podcast,2492,62039,"Member of @Addict_Wrestle w/hosts: @AmbassadorBIGz, @WillTarashuk, & @thekaemurphy. Find us on your fav podcast app! https://t.co/ftv8ldSvCk",,"Dont forget to CHECK OUT OUR PODCAST  where we discuss A LOT about @peacock censoring @WWE content, all the new HOF inductees &amp; #WrestleMania 
#SmackDown 

Apple Podcasts: https://t.co/jY7hvJvMWf
Spotify: https://t.co/wJWhDh7EKH
YouTube: https://t.co/EnTcWMwe4r",2021-04-02 23:44:09+00:00,0,0,0,0
59114767,GopherWrestling,36887,21516,The official Twitter feed of Golden Gopher Wrestling #GopherTough #Gophers,"Minneapolis, Minn.","Gable Steveson-Daniel Kerkvliet semifinal will be the third match up on Mat 3. 

NBC Sports Network will televise semifinals while @Peacock will have mat-by-mat coverage.

Live Scoring: https://t.co/pNvmAiEr7G",2021-04-02 23:11:13+00:00,1,0,20,0
1354504248764076035,Wrestlinglworld,240,465,For those who love and watch wrestling  @WWE @AEW,,Wow sign up for @peacock now https://t.co/lnn3t2aTcB,2021-04-02 22:35:30+00:00,0,0,2,0
26132397,GraceBaine,133,2156,Mother Nature in Peril new captain planet  Green Heroine, EARTH,"@StephenKing @SethMacFarlane Let's get ahead  #bigdaddy @SethMacFarlane listen to @PetesWeed @kmcnuggets    making #DigitalMarketing 
@peacock #onceuponatimemothernature
https://t.co/fnLU45bx1Y",2021-04-02 18:40:16+00:00,0,0,0,0
957712956573339650,makeminemayday,493,4859,"Kelly. Big ol' Comic Nerd. 
Cosplayer. Spider-Man Podcast Personality.
Horror Fan. Ghost Hunter. Still stuck in the 90s. What's my age again?
#FreeBritney","Atlanta, GA","This whole week, I try to watch @Peacock &amp; my @ATT internet forces a router reset and it'll do this every 15 minute, no matter what, until I stop watching Peacock. I've tested this for a week and the only common denominator on the internet dying is what website I'm on. It's sus.",2021-04-02 16:36:30+00:00,0,1,1,0
982282662483283969,thesilversalad,37,1383,,,@NBCSports @peacock please step in and correct @USAWrestling mistake. Arguably your biggest headliner this weekend isn’t allowed to wrestle bc @USAWrestling can’t give correct information to its participants.,2021-04-02 16:06:44+00:00,0,0,0,0
1373163748207194118,Malstrum8878509,7,1079,"actor, sound tech, writer. etch a sketch shaker",,"""Paper House"" @peacock",2021-04-02 14:34:00+00:00,0,0,0,0
1373163748207194118,Malstrum8878509,7,1079,"actor, sound tech, writer. etch a sketch shaker",,"The D Team @peacock

#India https://t.co/nQoYAePaxZ",2021-04-02 14:30:58+00:00,0,0,0,0
365644131,snowbal7,16,42543,,,@sapna Andrew Ross Sorkin bought a new suit for Easter @CNBC ivanka Trump had a contract with @NordstromNow The Apprentice  was on @nbc .. will @peacock show the lost episodes now ?,2021-04-02 10:22:09+00:00,0,0,0,0
