author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
1260746768586866693,CatBusRuss,65,2639,"“CoolMoviesDarth” Russ Stevens: Zombie movie writer/producer, Underemployed pro-wrestler, Podcast host, Keeping cat(s) in the comfort their godliness demands.","Urbana, IL by way of Peoria","Really dug @2chancemovies “Small Soldiers” episode. Don’t dig @thejoeharper’s “better than G******s” assessment. If @peacock can have the @HarryPotterFilm, why not a “Soldiers v. #Gremlins” movie? 

#FilmTwitter @hardwick @JessKwazz @RonFunches 

https://t.co/uwZteswD14",2021-08-01 22:48:01+00:00,0,0,2,1
238764045,therealrobbie84,104,6606,"Seattle native. Avid fan of sports, pro wrestling, politics, and traveling. Black sheep. Creature of habit. 1994 World Series Champion. #Impeach45","47.6097° N, 122.3331° W",@HowardBeck No idea when any games are on or where at… horrible marketing by @nbc and @peacock,2021-08-01 15:43:56+00:00,0,0,1,0
15255705,q256,244,6464,"Male, Single, Easy Going, Bald, Fat, Little Winkie, Grey Matter, Geek, Pictures, Bowl, Golf, Cook, Travel aka See The World, Enjoy Life and Having Fun","ÜT: 47.57097,-122.541777","By far the worst @NBCOlympics ( @Hulu @Peacock ) coverage EVER to date

#TuneItOut #JustIsNotWorthTryingAnymore #ShitIsShit",2021-08-01 05:20:32+00:00,0,0,0,0
305075301,jMoNet07,35,5662,Have an Associate Degree in Applied Sciences Multimedia and Web Design view https://t.co/PIMUL9nufR and https://t.co/6fplPM552G  also https://t.co/IWMP58y9xN  &,,The Olympics is rather boring when can't afford pay to view athletes that are in the games without pay. @peacock isn't the best of interest to the lower class people. The primetime cast is delayed in planning process. The events already happened! Not everything is live!,2021-08-01 01:04:38+00:00,0,1,0,0
1414401601,CoachPaul82,145,3042,"Associate/Youth Pastor @TheOpenDoorpa. Married, Father of 3 boys.  Christian, Conservative, Capitalist.","Chambersburg, PA","@Outkick He’s not Michael Jordan. Not even close. Also, The Last Dance was so incredible because it came at a time when there was no live sports on. This is not going to end well for @peacock. At least their Olympic coverage has been so profitable. Oops, never mind.",2021-08-02 20:06:17+00:00,0,0,1,0
565066406,FalconEric012,540,16987,"Soap Opera Junkie, love Charlie's Angels, The Bionic Woman and lots of other stuff. Love all kinds of music, Lady Gaga is everything. Love The Cranberries.",Philadelphia,"@ReneeRevelation @peacock Yea I downloaded it on my phone but for some reason it doesn't show up on my tv in New apps. Free with commercials, pay for commercial free. I want commercial free for my #Days 😁",2021-08-02 19:43:19+00:00,0,0,0,0
565066406,FalconEric012,540,16987,"Soap Opera Junkie, love Charlie's Angels, The Bionic Woman and lots of other stuff. Love all kinds of music, Lady Gaga is everything. Love The Cranberries.",Philadelphia,@ReneeRevelation @SoapDigest @Christie__Clark @nbcdays I'm paying for Peacock when this series hits 😁 #DaysofourLives is worth it. @Peacock,2021-08-02 19:32:46+00:00,0,1,2,0
114530603,annie_aruok,134,8510,Hays in the barn. Pigs in the castle.,Chicago,"This has been the most horrific Olympics to watch because @peacock and @nbc apparently lost all ability to organize, notify, or make it clear when their programming is happening or available. Call @netflix and figure it out, damn.",2021-08-02 16:30:15+00:00,0,0,0,0
489956267,GailDrakes,1565,15973,Historian using lessons from the past to inform the present - and shape the future. Bringing social justice visions to both higher education and philanthropy.,"Brooklyn, New York (USA)","Wait, I just found out @MorganRadford has a show on @Peacock! A lot of voices I think are important are ending up on streaming, and since I’m watching on a tablet anyway, I’m gonna need to makes some changes… https://t.co/UP4m1D5RUl",2021-08-02 15:39:20+00:00,0,1,1,0
60280898,IamaTexansfan1,16,9162,Born raised and always be a Texan.  Retired Air Force.,"Richardson, Tx",@dpshow @peacock @NBCSports   @FoxSportsRadio Will not watch a show with Nick Wright on.  Over hyped ass.,2021-08-02 14:04:32+00:00,0,0,0,0
