author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
1222681699,PghToffees,2472,4054,Official Twitter account for the growing supporters group of the world's greatest football club from the world's greatest city #Pittsburgh #COYB,"Pittsburgh, PA USA",We are on @peacock. Thanks for the feedback everyone. Here’s a bookmark-worthy schedule. https://t.co/ixaQPhsIzP https://t.co/VgpNKa0xXa,2021-02-01 21:30:28+00:00,0,0,0,0
1277768519988531201,RabbiRubenstein,72,304,"Rabbi, Dad into Torah, soccer (Everton, Leon, Minnesota United, Atalanta), hockey (Islanders), music, comic-books and trying to do some good in the world.",New York,@RabbiMarkAsherG @SerieA @Bundsliga @peacock @fuboTV @LigaMxEng @LaLiga oh yeah and CBS all access you also get @NWSL,2021-02-01 17:16:22+00:00,0,0,0,0
1277768519988531201,RabbiRubenstein,72,304,"Rabbi, Dad into Torah, soccer (Everton, Leon, Minnesota United, Atalanta), hockey (Islanders), music, comic-books and trying to do some good in the world.",New York,@RabbiMarkAsherG @SerieA @Bundsliga @peacock @fuboTV @LigaMxEng @LaLiga definitely had Sundays like that haha. Yea ESPN+ is fantastic for MLS and the vpn to watch local blacked out games,2021-02-01 17:15:45+00:00,0,1,0,0
325389471,RabbiMarkAsherG,3696,11455,Wu Tang is for the children; Hassidut is for the people. He/Him.,"Pittsburgh, PA","@RabbiRubenstein @SerieA @Bundsliga @peacock @fuboTV @LigaMxEng @LaLiga On a Wednesday in April/May, you can do UCL 2-4, MLS at 7 and 10. Sometimes a Chinese or Indian match early if you're lucky.",2021-02-01 17:11:18+00:00,0,1,0,0
325389471,RabbiMarkAsherG,3696,11455,Wu Tang is for the children; Hassidut is for the people. He/Him.,"Pittsburgh, PA","@RabbiRubenstein @SerieA @Bundsliga @peacock @fuboTV @LigaMxEng @LaLiga If don't watch footie on Shabbos, you can do this on Sunday - start at 9am with Serie A 3x, then do MLS games, usually at 3pm and 7pm or 7pm and 10pm.

Only 5 matches tho. 😂",2021-02-01 17:09:29+00:00,0,1,0,0
325389471,RabbiMarkAsherG,3696,11455,Wu Tang is for the children; Hassidut is for the people. He/Him.,"Pittsburgh, PA","@RabbiRubenstein @SerieA @Bundsliga @peacock @fuboTV @LigaMxEng @LaLiga ESPN gets you most MLS games too.

Next challenge is your first ever six+ game matchday watch-a-thon.

The 7:30 PL game. 
Break for Shabbat Shacharit. 
Noon: EPL or Bundesliga
2pm La Liga or Serie A
4pm: MLS or NWSL
7pm: MLS or NWSL
9/10pm: West Coast MLS or Liga MX",2021-02-01 17:07:43+00:00,0,1,0,0
1277768519988531201,RabbiRubenstein,72,304,"Rabbi, Dad into Torah, soccer (Everton, Leon, Minnesota United, Atalanta), hockey (Islanders), music, comic-books and trying to do some good in the world.",New York,"How is this for #soccer #addiction #obsession? Subscriptions: #ESPN+ (@SerieA , @Bundsliga etc.), @Peacock (#PL), CBS All Access (Champions, Euro, Nations), , @FuboTV Span (even though don't speak Spanish for @LigaMxEng, @LaLiga in English) #WatchSocerUS @RabbiMarkAsherG $40/mon",2021-02-01 17:01:28+00:00,0,1,0,0
72499058,jameezy9,441,126740,“You can’t argue with someone that doesn’t share the same reality as you”,Sacramento ,"@RealFPJr @peacock Congrats Freddie, looking very tall",2021-02-02 23:36:17+00:00,0,0,0,0
633563604,SirTibbett,24,1930,"For the kid in all of us, sharing those things we like in fandom with all.",,@RealFPJr @peacock Looking good man. Excited to get the kids together and see it.,2021-02-02 23:09:08+00:00,0,0,0,0
158434786,Fergie2811,1360,33953,🇲🇽Mexicana🇲🇽 #SMG #FPJr #DrakeBell #TheBeatles #TheWalkingDead #JiRafita #JohnNewman,,@RealFPJr @peacock Mucha felicidades !!! 😄🎉🎉🎉,2021-02-02 21:59:39+00:00,0,0,0,0
1721306924,MichaelJMapes,260,21456,"#🏳️‍🌈 FL ⛱ living,  Making friends/following some great people. work hard, play harder.  

Entertainment Savant,  #UnPCHomo",,@RealFPJr @peacock This is so awesome.  Congrats @moonfrye it's so great to see you recreate such an iconic character,2021-02-02 20:50:01+00:00,0,0,0,0
