author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
1153745677580587008,TShane626,44,3522,"I’m an autistic artist, part-time gamer, and an actor with big dreams about being on the big screen. Fanboy of Spider-Man, Hazbin Hotel/Helluva Boss, etc.",,"@Dreamworks @peacock I want Kung Fu Panda 4, not this!",2021-07-01 23:35:21+00:00,0,1,1,0
1252456966858866689,Crantum1,18,595,gameing,,@Dreamworks @peacock New boss baby 😀😀🇨🇳 https://t.co/3rfiTWXaMw,2021-07-01 23:08:32+00:00,0,0,0,0
301515865,matthewcondello,177,2609,follow me on Instagram for book reviews and recommendations Matthew_the_bookworm,,The odd description of “Psycho” on @peacock tv made me snort laugh 🤣 https://t.co/ltEoGJ70UW,2021-07-01 20:52:51+00:00,0,0,1,0
1389717406432567301,LeConorMcJames,1,73,6’3 🛕 King James 👑 The Notorious ☠️,,"@Dreamworks @peacock This is the best news. I needed this since the ole wife cheated, I’m still with her lol it was just a bummer.",2021-07-01 19:30:53+00:00,0,0,1,0
893580185911644167,marshcalico,731,44889,"🦇  bed inspector
🦇  i talk/rt alot!!!!!
🦇  art only: @marshieart
🦇  nonbinary, they/it
🦇  14 years old, NSFW DNI
🦇  black, poc",Training Mode,@hagsoooyoung @Dreamworks @peacock tbh id much rather listen to only loona for a day than watch the boss baby in any capacity,2021-07-01 18:23:24+00:00,0,0,3,0
1375514909333590020,kellyjomae,196,38122,"ARMY Attack on Titans, 7 Deadly Sins, Haikyu, Demon Slayer, Noodles, Books, Video Games, Sleep",,@Dreamworks @peacock I guess they visited Walter to get the formula,2021-07-01 17:05:46+00:00,0,0,1,0
402461548,DJSkullfetish,578,14615,Skyrim enthusiast and good at sex,,"@Dreamworks @peacock Looks better than the new Space Jam, tbf",2021-07-01 17:01:50+00:00,0,2,2,0
757775599993655298,televisionaryZW,357,26722,"Attempting to watch TV, all of it, one episode at a time. (Mostly sitcoms)

Host of the RANDOM ACCESS TELEVISION podcast follow at @ratvpod","Corvallis, OR","It's the first of the month, so it's time for new stuff on streaming. @Roku did the normal Sony shuffle, but also added #Medium &amp; #Weeds. @peacock added #FridayNightLights some older #Dateline seasons &amp; some foreign kid shows. https://t.co/OZn52sEFbP",2021-07-01 16:05:29+00:00,0,0,1,0
1428916338,rmducky,4,816,,,@zekaelafangurl Thank you Jeff for all you’re doing!!! You the show and cast deserve 4 5 and 6  #SaveManifest  #KeepTheFaith  #FinishTheStory  @nbc @RENEWMANIFEST4  @jeff_rake  @warnerbrostv  @netflix  @prime @peacock,2021-07-01 15:22:43+00:00,1,0,2,0
3404488342,Sayge_Maree,88,20640,10/30/14 RIP dad,"Milwaukee, WI",@Dreamworks @peacock @ceara_cross !!!!!! We should take grey to the movie theater!! Or we can just go😂,2021-07-01 13:13:36+00:00,0,1,1,0
2705979132,hagsoooyoung,639,5560,‘02 • gaysian • gg stan • ot12 • yvesoulip simp,She/Her  |  ⚢,@Dreamworks @peacock stan loona https://t.co/wVrj07J4UB,2021-07-01 12:54:34+00:00,0,1,5,0
