author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
1383019665010667521,DaishawnEller10,13,140,I'm an open minded person.,,@ShawnMulvan @hulu @peacock I wonder why myself.,2021-06-01 20:49:40+00:00,0,0,1,0
14337404,prsue,530,1646,"PR media for nonprofits, progressive advocacy, social justice, animal welfare, arts, TV, documentaries, consumer tech & products, https://t.co/Df7uJaDYJs",Washington DC,"#pr #advocacy New opportunities to secure broadcast #media coverage and bookings. In addition to NBC's @peacock, @CNN's streaming service will feature original shows. https://t.co/t3475OZC1o via @WSJ",2021-06-01 18:25:49+00:00,0,0,0,0
339359724,ShawnMulvan,260,835,I will be Hokage some day,,They took season 19 of Hell’s Kitchen off every streaming platform and I was only half way through. Every other season is still available though... wth @hulu @peacock,2021-06-01 18:18:00+00:00,0,1,0,0
14802013,twilight2000,1659,267474,"Writer, teacher, mother, event planner, software engineer & paleowhovian. I twitter politics & am often shocked at just how crazy the extreme right can get.",Left Coast of the US,"Hey @peacock I've turned off subtitles three times now choosing none and yet I cannot get the subtitles to go away making my viewing experience horrible depressing and never coming back if you can't fix it! And who Auto turns on subtitles? OMG, irritating!",2021-06-01 16:46:08+00:00,0,0,0,0
1396536599903494146,SMDSHOAIBALI3,5,45,"S MD SHOAIB ALI
Shairiya ka dewana 
👉 Peene ki capacity🍻
👉 Jene ki strength
👉 Account ka balance 💵
😎 Aur naam ka khauf ..👑
😉 Kabhi b kam nhi hona chahia","Rayachoti, India","I do not believe that any peacock envies another peacock his tail, because every peacock is persuaded that his own tail is the finest in the world. The consequence of this is that peacocks are peaceable birds.
See the pretty view of @peacock https://t.co/uVt05uCz6o",2021-06-01 09:20:39+00:00,0,0,0,0
1264325011055226880,CosmicJt23,546,26918,"One of the USA's longest running Independent, Commercial-Free Americana / Folk Rock & Blues Radio Streams.  Not RNC.  Not DNC.","Chapel Hill - Carrboro, NC","Catching up with ""Resident Alien"" on @Peacock.  Only 10 episodes so far.  I hope there's more coming.",2021-06-01 00:03:39+00:00,0,0,0,0
1281739679763779585,DanielKurle,3609,6393,"Progressive. You're under no obligation to engage with me at all; if you disagree with me, express your objection in a civilized way or not at all. Thanks.","Frankfurt, Germany","@LundworksA @peacock Well, I was a bit confused at that ;)",2021-06-02 16:37:11+00:00,0,0,0,0
4817300547,LundworksA,1165,30091,"Mid-Centurian
Married over 37 years Mom of 2 Jill of All Trades 
#VoteBlue🌊  #Progress💡 not regress🕯 
#Healthcare4All⚕
Official #FirstVBAC 1964",Minnesota,"@DanielKurle @peacock Beg your pardon, triggered memory by ""bad movie"" because it's relative.
These might be that, but I enjoyed them.",2021-06-02 16:31:23+00:00,0,1,1,0
1281739679763779585,DanielKurle,3609,6393,"Progressive. You're under no obligation to engage with me at all; if you disagree with me, express your objection in a civilized way or not at all. Thanks.","Frankfurt, Germany","@LundworksA @peacock I am sorry, I totally can not follow you now. I never watched the TV show and I must admit, I can not see the connection between that show and this awful Bigfoot movie that I have watched (alsmost completely, it was a really bad movie).",2021-06-02 16:05:41+00:00,0,1,1,0
4817300547,LundworksA,1165,30091,"Mid-Centurian
Married over 37 years Mom of 2 Jill of All Trades 
#VoteBlue🌊  #Progress💡 not regress🕯 
#Healthcare4All⚕
Official #FirstVBAC 1964",Minnesota,"@DanielKurle @peacock Well, they un-bronzed her.
They have a machine that statuary's people, season 2 or 3",2021-06-02 16:03:35+00:00,0,1,0,0
1281739679763779585,DanielKurle,3609,6393,"Progressive. You're under no obligation to engage with me at all; if you disagree with me, express your objection in a civilized way or not at all. Thanks.","Frankfurt, Germany","@LundworksA @peacock I am not quite following, but I get the gist... I think ;)",2021-06-02 15:56:31+00:00,0,1,1,0
4817300547,LundworksA,1165,30091,"Mid-Centurian
Married over 37 years Mom of 2 Jill of All Trades 
#VoteBlue🌊  #Progress💡 not regress🕯 
#Healthcare4All⚕
Official #FirstVBAC 1964",Minnesota,"@DanielKurle @peacock Husband perked interest as he saw there were several ""hotties"" .
HG Wells is an attractive woman mis-gendered due to misogyny twist is prescient.",2021-06-02 15:31:08+00:00,0,1,1,0
4817300547,LundworksA,1165,30091,"Mid-Centurian
Married over 37 years Mom of 2 Jill of All Trades 
#VoteBlue🌊  #Progress💡 not regress🕯 
#Healthcare4All⚕
Official #FirstVBAC 1964",Minnesota,"@DanielKurle I watched 5 seasons of ""Warehouse 13"" on @Peacock 
Similar to ""The Lost Room"" , 3 -hour and a half episodes.",2021-06-02 14:41:13+00:00,0,1,1,0
2242963489,MySummerLair,2234,6193,"Batman has Alfred. Pop Culture has me.
My Summer Lair with host Sammy Younan: interviews & impressions on Pop Culture.
🎙
👇🏽Follow👇🏿Me👇To👇🏾Narnia👇🏻","Toronto, Canada","What's #couchworthy today: LADIES WHERE YOU AT! Coming to @peacock, WE ARE LADY PARTS debuts today &amp; WOMAN IN MOTION: NICHELLE NICHOLS, STAR TREK AND THE REMAKING OF NASA arrives at @paramountplus. Check out these and more on this week's #SetTheVCR📼 .

https://t.co/2zdLWXkkY3 https://t.co/5FLsqByOMC",2021-06-03 13:02:36+00:00,0,0,0,0
17582744,mooshki,388,35865,Fan account for short flightless waterfowl. Ice Cream Socialist. Black Lives Matter!,"Minneapolis, MN","Fast and the Furious commercial! Now that's more like it, @Peacock!  #PsychRewatch",2021-06-03 01:27:55+00:00,0,0,3,0
714947111482105856,JonitaLDavis,4091,28324,"she/her| critic/writer/Podcaster
 EIC @theblackcapemag| 
Producer/Podcaster @Muldiversity
|@NABJ | @AAFCA| @soblerdy |@HCAcritics| CIC  https://t.co/kaMgyVvOnx","Michigan City, IN","""We are the spiciest spice girls.""

#SpiceGirls with seasoning, ladies. That's #WeAreLadyParts.
@Peacock https://t.co/zHhRVXMt9w",2021-06-04 23:20:41+00:00,0,0,0,0
