author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
17916570,BobbyLibby,749,47932,"Phantom Thread & Titane fan account. MUSICAL THEATRE IS GOOD ACTUALLY, Saturdays @ 8pm ET on https://t.co/XiJBka8SvE he/him ACAB ⚠️🔴 opinions my own","Germantown, MD",Actually I am a Dunder-Mifflin Head bc I'm such a fan of The Office (US) (now available on @peacock ) https://t.co/dFIOWjicKT,2021-03-01 21:15:50+00:00,0,0,1,0
602074869,EelinReily,473,2381,"Lake girl and news nerd. Using my inside voice. Sr. Producer, ‘The Mehdi Hasan Show’ @msnbc/@peacocktv Retweets are not endorsements; opinions are my own.","Never leaves the house, USA","Thanks, @mehdirhasan! Same time next week? (and at 7pm ET tonight-Thursday on The Choice on @peacock?) https://t.co/uy1a05dDsV",2021-03-01 20:10:18+00:00,0,0,4,0
35575777,andy_linds,510,153806,I once cared; then I grew up.#Heel\ Tony Khan: survivor #ChrisJericho | #BrittBaker  #TrishStratus  #CharlotteFlair. whos next? what's a goon to a goblin✨🎃,"SWEET HOME, ILLI.","@peacock  are you guys going to have ads when wrestlemania is on? if you pay the 5.00$ 

@wwe",2021-03-02 18:27:17+00:00,0,1,0,0
1349468688576106497,Pilatesmama11,263,20629,Deregulation of US Media is the cause of evil being able to run rampant. Reinstate Fairness Doctrine and Media Standards and Practices. #LetUsVote,,@MSNBC I simply can’t afford another streaming platform. Put @mehdirhasan on @NBC or @MSNBC and I’m in every day. Don’t judge rating for him on @Peacock. Streaming is out of control.,2021-03-03 17:44:06+00:00,0,0,0,0
18846572,thedarkhours,8364,153069,Chat with me! #Horror I watch films at https://t.co/KMufxoXzzh  Lets keep it drama free people! banner by @jaythechou,Kentucky,"#NowWatching Debris on @Peacock
Has an X-Files vibe! 

https://t.co/jHWOcaOmfU",2021-03-03 17:23:39+00:00,0,1,0,0
35575777,andy_linds,510,153806,I once cared; then I grew up.#Heel\ Tony Khan: survivor #ChrisJericho | #BrittBaker  #TrishStratus  #CharlotteFlair. whos next? what's a goon to a goblin✨🎃,"SWEET HOME, ILLI.",@ripfillwerrell @peacock @WWE Thanks!,2021-03-03 05:24:41+00:00,0,0,0,0
1353892171951136768,ripfillwerrell,227,8222,FKA @kidcudsworth,Idk lol,@andy_linds @peacock @WWE I think it’s if you get the 9.99 plan (which is the Peacock premium plus plan) which means that you get no commercials. I think if you only paid the five dollar plan then you get commercials,2021-03-03 01:33:04+00:00,0,1,0,0
1274773555981496321,JeffforJ,27,574,"Christ-following business and family man who loves all things Virginia Tech, St. Louis Cardinals, Tottenham Hotspur, and Springsteen.","Dallas, TX",Anyone else losing @peacock on Spurs game ? #coys,2021-03-04 18:28:40+00:00,0,0,0,0
61317997,jmcohen9,58,2070,"“Yesterday I was clever, so I wanted to change the world. Today I am wise, so I am changing myself.” ― Rumi",,I have to say it’s quite jarring when you’re watching “Last Temptation of Christ” on @Peacock - in my case in the middle of the night because of insomnia - &amp; Jesus &amp; Mary Magdalene are in an emotional scene &amp; the app I cuts right to Jake from @StateFarm image via Bible Odyssey https://t.co/Bhmr36aBcl,2021-03-05 19:44:25+00:00,0,0,0,0
1312503712053555201,TululaG,202,20174,Retired Banker,"Arizona, USA",@MehdiHasanShow @NBCJoshua @peacock Joshua Johnson you and Mehdi Hassan are fantastic on MSNBC and Peacock. Thank you both for great reporting.,2021-03-05 15:41:45+00:00,0,0,0,0
