author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
2995714708,MeNtAl_MiChAeL,289,15923,PUBGm _ WildRift _ CoC _ PUBG _ Stadia                                            🐔views are my own🐔  @MeseeksMobileGo,My own personal Hell🔥,@PizZzaBear @peacock Ads or not it's really good. Has )are you afraid of the dark )on there.,2021-05-01 23:54:32+00:00,0,1,1,0
1157763600460767232,PizZzaBear,557,3136,"#MCOC #PUBGm #CoDm #AmongUs Streamer/Content Creator! My Website: https://t.co/nGKicqpxhX LIVE ON YT, Twitch, FB, etc. 🤷‍♀️","Laurel, MS",@MeNtAl_MiChAeL @peacock Oh yeah my bad I guess you can pay $5/month and get premium with ads first tome i heard of them wanting money I thought the whole thing was free lol,2021-05-01 23:44:31+00:00,0,1,1,0
2995714708,MeNtAl_MiChAeL,289,15923,PUBGm _ WildRift _ CoC _ PUBG _ Stadia                                            🐔views are my own🐔  @MeseeksMobileGo,My own personal Hell🔥,@PizZzaBear @peacock Yeah they told me that it's free since I have Xfinity flexbox which was also free. Not like I need it but I figured I'll have another toy. Lol,2021-05-01 23:33:08+00:00,0,1,1,0
1157763600460767232,PizZzaBear,557,3136,"#MCOC #PUBGm #CoDm #AmongUs Streamer/Content Creator! My Website: https://t.co/nGKicqpxhX LIVE ON YT, Twitch, FB, etc. 🤷‍♀️","Laurel, MS",@MeNtAl_MiChAeL @peacock Idk I just downloaded the app and started watching i didn't see anything about paying or anything like that,2021-05-01 23:28:33+00:00,0,1,1,0
1157763600460767232,PizZzaBear,557,3136,"#MCOC #PUBGm #CoDm #AmongUs Streamer/Content Creator! My Website: https://t.co/nGKicqpxhX LIVE ON YT, Twitch, FB, etc. 🤷‍♀️","Laurel, MS",@MeNtAl_MiChAeL @peacock Really?,2021-05-01 23:26:50+00:00,0,0,1,0
2995714708,MeNtAl_MiChAeL,289,15923,PUBGm _ WildRift _ CoC _ PUBG _ Stadia                                            🐔views are my own🐔  @MeseeksMobileGo,My own personal Hell🔥,@PizZzaBear @peacock Or do you mean not the actual peacock app?,2021-05-01 23:22:17+00:00,0,1,1,0
2995714708,MeNtAl_MiChAeL,289,15923,PUBGm _ WildRift _ CoC _ PUBG _ Stadia                                            🐔views are my own🐔  @MeseeksMobileGo,My own personal Hell🔥,@PizZzaBear @peacock With flex box u do. If not gotta pay.,2021-05-01 23:21:46+00:00,0,2,0,0
1157763600460767232,PizZzaBear,557,3136,"#MCOC #PUBGm #CoDm #AmongUs Streamer/Content Creator! My Website: https://t.co/nGKicqpxhX LIVE ON YT, Twitch, FB, etc. 🤷‍♀️","Laurel, MS",@MeNtAl_MiChAeL @peacock Yeah I think everyone gets it for FREE bro lol,2021-05-01 23:21:07+00:00,0,1,1,0
2995714708,MeNtAl_MiChAeL,289,15923,PUBGm _ WildRift _ CoC _ PUBG _ Stadia                                            🐔views are my own🐔  @MeseeksMobileGo,My own personal Hell🔥,@PizZzaBear @peacock Yeah I get peacock for free. Has lotta good stuff on it. Was quite impressed.,2021-05-01 23:18:20+00:00,0,1,1,0
1157763600460767232,PizZzaBear,557,3136,"#MCOC #PUBGm #CoDm #AmongUs Streamer/Content Creator! My Website: https://t.co/nGKicqpxhX LIVE ON YT, Twitch, FB, etc. 🤷‍♀️","Laurel, MS",@MeNtAl_MiChAeL @peacock Yeah a lot of goodies! I was actually quite surprised! Time to hook the TV UP!,2021-05-01 23:17:30+00:00,0,1,1,0
