author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
760948334215303168,hempfusion,1461,1450,🌱 One of the only #CBD companies fully prepared for FDA guidance. #TeamHempFusion @Probulin #probiotic @Sagely_Naturals @Apothecanna. 15k+ US retailers & ecom.,"Denver, Colorado",".@SteveArpin's #HempFusion finished 2nd last weekend  in @NitroRallycross! This weekend, he's in it to win it @ERXmotorpark! Streamed on @Peacock, YouTube &amp; 200 countries. Let's gooooo!🏁 #NitroRX https://t.co/bFLqX357Xh",2021-10-01 20:58:32+00:00,0,0,1,0
900856742,BetOnPete,449,12400,"Every time a PI gets called, an under bettor loses his wings.",A Place That You Will Judge,@peacock is trying to push my dog over the edge with Curious George: Cape Ahoy and its nonstop high pitch whistle.,2021-10-01 20:09:11+00:00,0,0,0,0
1439612886242971654,Bob89478336,2,277,Subject matter expert In lending,,@pwp72 @YouTubeTV @nbc @peacock Watch NBC FOR FREE OVER A FREAKING ANTENNA.  Anyone over 60 was the freaking remote on the sixties with black and white TV.  It’s the law. NBC HAS TO BROADCAST OVER AIR FOR FREE.  Who care what NBC DOES. They are double dipping so someone can buy that house in Jamaica mon.,2021-10-01 12:38:06+00:00,0,0,0,0
22682103,KaysGramma,686,26795,Born-n-Raised in suburbs of the 🌬🏙 Former 🤸🏻‍♀️& coach now a 🤸🏼‍♀️'s 👵🏻 Married to👨🏻‍🚒for 25 yr💔⚱️😢Doing my part to hold on to democracy🗳🌈☀️,Midwest USA,"@NBCUniversal @nbc  @PeacockTVCare 

So if you’re going to remove yourselves from You Tube TV because of a dispute AND you want to promote @Peacock maybe you should consider adding fan favs #LasVegas and #AmericanDreams 
Guarantee you’ll add subscribers w/those 2 series https://t.co/zzoP326l1O",2021-10-01 04:09:17+00:00,0,1,1,0
348157376,haemaker,99,15734,,,"I wonder, since @YouTubeTV have announced a discount while @nbc holds out, if NBC will continue to hold out to turn this into a @peacock free trial.  Perhaps they should not have announced anything.

I will not use Peacock during the interim, I will simply watch something else.",2021-10-01 01:44:52+00:00,0,0,0,0
23493293,DiabloSangwich,295,11529,"Breakfast isnt my favorite meal, but its in the top three.",Denver,"Hey @JusticeOIG and @FTC - When a company like @NBCUniversal which owns content production, delivery (@Xfinity &amp; @peacock) as well as internet access @comcast, consumers get hurt.
It’s a great time to look into this, and it’s not just NBC… I’m looking at you too, @WaltDisneyCo https://t.co/iuLZllkXFG",2021-10-01 00:38:09+00:00,0,0,0,0
3301236943,KetzerN,3370,15862,"https://t.co/oCR74oNyYE
https://t.co/NXlKhqks56
https://t.co/FBRID35xWi
Booking: sonsoftriermain@gmail.com

I outclass Ben Shapiro on everything but trains.",U.S.A.,"@Netflix @Peacock @Hulu Alright first one to make an offer gets it:

It's a show about a woman who goes across the Earth, defeating the old Pantheons of Gods, with whatever is in her Box. It's just called 'Pandora's Box.'",2021-10-02 23:34:33+00:00,0,1,2,0
22782543,TedatACA,3516,37631,"VP, Communications, ACA Connects","Washington, D.C.","@xpangler: @NBCU and @YouTube TV Clinch New Agreement; No Price Increase for Streaming Service [""NBCU dropped its ask that @YouTubeTV bundle @Peacock Premium with the streaming service.""] https://t.co/Tih25l75ms https://t.co/qO6a1NZe9G",2021-10-02 20:35:51+00:00,0,0,0,0
2402541109,RConnR,155,2115,"L.V.N., Tolkien O.G., 313, Spartan-Coug-Vandal, knitter, traveler, gardener, reader, non-trad history degree seeker and mom",,"What?? The 1979 version of Dracula will be on @Peacock this month! I had such a crush on Frank Langella after that movie -- yowza. I wonder if it holds up or if it is campy now, will have to check it out.",2021-10-02 01:30:14+00:00,0,0,0,0
776254095820664833,AaronFurq,639,32819,I’m into #horror #scifi #fantasy. all about #hustle life. Sports Dad. I do local weather in area. #Disabled/#bi racial/ human.,"Austin, TX",Hey anyone looking for some older and a bit maybe cheesy #scaree @peacock has the old #Monster movies. The original Universal films #HorrorCommunity,2021-10-02 00:36:37+00:00,0,0,0,0
760948334215303168,hempfusion,1461,1450,🌱 One of the only #CBD companies fully prepared for FDA guidance. #TeamHempFusion @Probulin #probiotic @Sagely_Naturals @Apothecanna. 15k+ US retailers & ecom.,"Denver, Colorado","Ouch! That was yesterday. Today, @stevearpin is back in front! Tune in now on @Peacock or YouTube. #TeamHempFusion https://t.co/k3IjOQLafZ",2021-10-03 21:06:26+00:00,0,0,4,0
232395936,JennyPowell859,989,16904,artist🎨 photographer📸 poet wineaux🍷mother❤️ reader 📚pet wrangler 🐱native Kentuckian🇺🇸 Bitcher about the government 😉,"Florence, KY","@bravo @peacock I'll be there for @DorindaMedley! Fuck @VGunvalson! She's like 70 years old &amp; should know better.
Real Housewives Franchise’s New Crossover Event to Platform Vicki Gunvalson’s Anti-vax Tirades https://t.co/rqCL3jSYuJ via @VanityFair",2021-10-03 20:40:22+00:00,0,0,0,0
1072527560662310912,BluntsMahoney,885,11981,People should care about people.,Something Clever ,"Just watched the #HolyGrail mini doc on @Peacock, and all I can say is go watch that #TomMagee was nuts for that time frame and could've worked any opponent in any arena!",2021-10-03 17:34:10+00:00,0,0,0,0
1333957920841633792,FilmIronic,7,253,"Do you take your entertainment news with a tasty side of irony? Sure you do! Follow us and stay up-to-date on all your favorite movies, shows, and games.",The Dark Side of the Moon,@Peacock and @WWE have assembled an all-star cast for their docuseries #WWEEvil. https://t.co/hJq8eHyYCJ,2021-10-03 10:04:31+00:00,0,0,0,0
1422433847606538245,JohnRenfro2016,63,3649,"I'm John in Japan. 
META=TwoBluePills=NoChoice
https://t.co/Vbx6zHctqY",,"@HBOMax @Peacock @Netflix @DisneyPlus 
A word of advice from someone who has been in this for a long time. HBO's old 1980s guides should be what your websites look like. 

Furthermore, HBO used to show 30 minute ""Coming Previews"" segments.

https://t.co/wHaEv0cVwo",2021-10-03 04:49:23+00:00,0,0,0,0
52686948,lethallyfab,451,23210,"A lover, lush, amateur writer, professional raconteur. Saving the good dirt for the memoirs.",Lost Angeles - or thereabouts.,If I have to see this damned Demi Lovato ad one more time from watching #SNL on @peacock …,2021-10-03 04:25:06+00:00,0,0,0,0
3347175172,Frank__XIX,951,13605,I'm a huge wrestling & sports fan. I'm a fan of any type of pro wrestling You can think of. Also a Mets Bears Islanders fan.,"Bellerose, NY",I blame @Peacock canceling the #PunkyBrewster reboot for Facebook being down! It's all your fault!!!,2021-10-04 21:01:28+00:00,0,0,0,0
27889066,BamaGrad00,1043,67785,"Christian, Single Male Roll Tide Salad Critic of Restaurants, Elvis expert, Bama Grad Free thinker, Watcher of old westerns, Love MLB and CFB, Entreprenuer",Nothingville,"@WWE @peacock  Get some Japanese FMW Wrasslin on the WWE Network. Tell Vince, Shane ad Steph to hire me I will digitally remaster everything.",2021-10-04 18:25:51+00:00,0,0,0,0
133471182,Amyreader100,758,44796,Love reading.,,@Daysofour_Lives @WesleyEure I wish #days would put classic episodes on @peacock or somewhere else for us to enjoy,2021-10-04 12:05:35+00:00,1,0,8,0
537914194,elizajamesvln,1836,15322,"Solo violinist for Burt Bacharach and Paul Anka. Studio musician, singer, songwriter, lindyhopper, wcs dancer and Lover of life. https://t.co/nNF29eJafv",hollywood ca,You know when u randomly get sucked into a mystery thriller on @peacock and it ends up being literally the worst writing &amp; acting you’ve ever seen in your life but u can’t stop watching cuz u want to know the end of the story…but the dialogue is SO BAD..,2021-10-04 07:57:37+00:00,0,1,0,0
363726829,elzburning247,66,2420,A small step forward is better than taking 2 steps forward and 3 back. “hate loosing more than you love to win” #joedouglas,,Little off with the score @NBCSports @peacock https://t.co/OnuU95D2sF,2021-10-04 03:02:17+00:00,0,0,0,0
