author_id,username,author_followers,author_tweets,author_description,author_location,text,created_at,retweets,replies,likes,quote_count
14991564,MamzelleHermy,147,29728,#KeepTheSecrets. - Sherlocked. - Run you Clever Boy and Remember. - For the love of Camelot! - Live Long And Prosper. - Wait & Hope. - Find me on AO3 also.,In my hopes? UK (not France),PRODIGIES! LET'S BE FERAL! LET'S SHOW THE WORLD SOMEONE NEEDS TO #PickUpProdigalSon  #SaveProdigalSon @netflix @hbomax @skytv @warnerbrostv @peacock @PrimeVideo https://t.co/KoaoUwJzCS,2021-09-01 19:59:54+00:00,0,0,1,0
592648395,yuni_mire,15,1158,,,@brio_stan Great idea 👌👌 #SaveGoodGirls @nbc @netflix @hulu @peacock,2021-09-01 18:51:29+00:00,0,0,2,0
517045006,MrWendell29,2923,28184,"Husband, father, Texan, Morning Anchor at @WFSBnews; #ACUgrad; #Longhorn & #Tarheel fan. Opinions all mine. RT's not endorsements.","Hartford, CT","Hmm -- I may have to get @Peacock just to watch this. #FreshPrinceDramaReboot

https://t.co/N9oWgQ6GO0",2021-09-01 10:12:11+00:00,0,0,0,0
1392849512012689408,Hussein26358463,24,1340,Eli pepperjacks defense attorney - he/him,Arcadia oaks,@DRMWRX @hulu @peacock Fuck well I at least get more guy tho the animation looks so cheap,2021-09-01 08:44:08+00:00,0,0,0,0
1354938594213949443,TeeGriffith,222,23246,"Christian Buddhist. Mom of amazing young adult son, MH advocate, Warrior, BA Linguistics UF 89, ACR, Human Friend of THE Princess Leia, Resurrected, Hare Krisna",,"@Peacock is frozen on my @Roku in my room. Am able to watch on mobile app. This is distressing because @Peacock is the only app I'm streaming - I watch multiple shows and am in the middle of binging HEROES. Can't try the TV in commons area yet. Have ""rebooted"" multiple times!",2021-09-01 00:04:03+00:00,0,0,0,0
1355212712767336450,rayrainbowroom,313,7993,"the file that's labeled
'things that suck'
is getting thicker","Brooklyn, NY",@pattonoswalt @APBioPeacock @peacock Laughing laughing☺️,2021-09-02 22:09:35+00:00,0,0,0,0
26020465,ETCanada,384004,363050,"The nation’s entertainment powerhouse, we set the pace with more breaking news, in-depth profiles & exclusives than anyone else. Weeknights on @GlobalTV 7:30",Canada,#RyanOConnell of @netflix's #Special has joined the cast of @Peacock's reimagining of #QueerAsFolk https://t.co/mWd87HeNFn https://t.co/Zu8ufjiuw9,2021-09-02 21:06:00+00:00,0,0,2,0
1089071644641964033,EG_Raves,68,4284,I'm what would happen if Holden Caulfield were nearing 50 and had a government job.,"British Columbia, Canada","@pattonoswalt @APBioPeacock @peacock One of the best, most consistently funny shows on television with the absolute greatest cast.",2021-09-02 20:48:30+00:00,0,0,0,0
2556673458,Chrisiiizrad,97,4560,"Artist 🎨
📍Curaçao",🇨🇼 ,@emvelyy @peacock They dont want us  reminiscing,2021-09-02 19:02:34+00:00,0,0,1,0
946600567861891072,emvelyy,165,4752,🦥,"Queens, NY",@peacock put the harry potter series back on rn,2021-09-02 18:57:22+00:00,0,3,0,0
